"countopioid","abandon_cars","graffiti","pothole","street_cleaning","trash","abandon_cars.nn","pothole.nn","trash.nn","graffiti.nn","street_cleaning.nn","pctUnemploy","MedHHInc","pctPoverty","TotalPop","TotalUnit","NEIGH","Longitude","Latitude"
4,0,0,5,0,0,1084.38235099816,319.404106731886,343.847040709626,4160.49268426173,376.624181266096,0.664451827242525,45714,10.188261351052,903,572,"Riverside",-84.617196298596,39.0774288864354
13,0,1,17,2,17,401.103921121611,55.0381282472544,47.9779009482502,1010.16484357004,128.535344110994,2.2992125984252,51196,6.83464566929134,3175,1532,"Westwood",-84.620785005626,39.147499803806
1,0,0,0,0,0,925.79475476077,500.835785850149,683.233432159759,4204.16713498031,689.265840427969,0.664451827242525,45714,10.188261351052,903,572,"Riverside",-84.6141139356592,39.0736255411504
10,0,0,8,2,18,595.018938747007,181.920867351608,114.3993298846,749.679783766596,214.117525089208,3.0840400925212,38165,12.72166538165,2594,1216,"Westwood",-84.6173001337547,39.1359111095748
23,3,1,12,3,30,253.902151865028,213.794876860049,113.139373615698,814.212532960774,215.046004088231,2.4704065877509,32671,16.3149768399382,5829,2879,"Westwood",-84.6176991029623,39.1436967433647
1,0,0,8,1,1,613.271943521807,196.066978680442,379.354130579354,3769.8385234938,359.199457392867,0.664451827242525,45714,10.188261351052,903,572,"Riverside",-84.6114292566598,39.0776078727544
7,0,0,0,1,27,552.629323725862,796.702664698524,72.4543726910595,1187.86131503015,466.772305655015,2.91012104043266,52530,12.8251352047386,3883,1929,"West Price Hill",-84.6134182793489,39.11653654573
7,0,0,2,1,9,571.600211180496,327.316417633153,162.545365984415,509.360622987932,342.273483649304,3.0840400925212,38165,12.72166538165,2594,1216,"Westwood",-84.614214967365,39.1321079181022
23,0,0,36,1,25,325.359638618655,129.419900734056,106.748881749445,761.778275181045,304.726660223723,2.4704065877509,32671,16.3149768399382,5829,2879,"Westwood",-84.6146135427748,39.1398935834291
48,5,0,16,6,34,174.861342962711,186.884668768351,92.5430953087092,710.517057258059,169.142317462804,2.4704065877509,32671,16.3149768399382,5829,2879,"Westwood",-84.6150122725025,39.1476792350246
