"countopioid","abandon_cars","dead_animals","graffiti","pothole","street_cleaning","trash","NEIGH","Longitude","Latitude"
9,43,5,1,24,2,35,"West Price Hill",-84.5926283792805,39.1054827945215
43,16,5,0,23,2,41,"West Price Hill",-84.5930242020417,39.1132686806374
8,0,4,0,1,1,25,"West Price Hill",-84.59342017794,39.1210545531801
15,0,0,0,1,0,0,"Westwood",-84.5938163071479,39.1288404117198
5,0,3,0,2,2,6,"Westwood",-84.5942125899123,39.1366262566541
31,1,8,0,4,3,20,"Westwood",-84.5946090260296,39.1444120875911
7,3,0,0,2,3,27,"Westwood",-84.5950056158098,39.1521979047512
4,0,2,0,0,0,4,"Westwood",-84.5954023591819,39.1599837081516
12,8,2,0,10,5,47,"West Price Hill",-84.5899413783402,39.1094647260756
3,1,0,1,8,0,4,"West Price Hill",-84.5903369612495,39.11725062987
2,1,0,0,0,0,1,"Westwood",-84.5907326974556,39.1250365200304
23,5,1,0,21,2,37,"Westwood",-84.5911285868979,39.1328223961831
10,1,7,0,24,2,7,"Westwood",-84.5915246298655,39.1406082588118
18,3,6,0,22,3,31,"Westwood",-84.591920826063,39.1483941073373
6,0,1,0,1,0,6,"Westwood",-84.5923171757529,39.1561799422521
0,0,1,0,0,0,0,"Westwood",-84.5927136788742,39.1639657633908
15,6,9,0,10,4,12,"Riverside",-84.585674243066,39.0823027835209
35,2,4,0,17,8,46,"West Price Hill",-84.5868588962199,39.1056606720591
46,11,16,2,31,9,53,"West Price Hill",-84.5872540864584,39.1134466074155
0,0,1,0,3,1,1,"Westwood",-84.5876494296358,39.1212325287845
5,0,0,0,9,4,12,"Westwood",-84.5880449262156,39.1290184365526
3,1,2,0,2,1,6,"Westwood",-84.5884405757593,39.1368043303807
7,5,1,0,0,6,10,"Westwood",-84.5888363787717,39.1445902105693
15,2,10,0,32,1,24,"Westwood",-84.589232334812,39.1523760768596
0,0,0,0,0,0,0,"Westwood",-84.5896284442712,39.1601619294791
12,7,3,0,1,1,10,"Riverside",-84.5829876188356,39.0862845442628
43,7,10,0,10,10,71,"West Price Hill",-84.5841715531697,39.1096424856248
38,2,3,6,12,18,32,"West Price Hill",-84.5845665038824,39.1174284386015
1,0,0,0,1,7,0,"Westwood",-84.5849616073668,39.1252143776635
14,1,1,0,13,0,13,"Westwood",-84.5853568639875,39.1330003030309
29,6,13,0,4,4,47,"Westwood",-84.585752273462,39.1407862145389
4,0,5,0,0,1,28,"Westwood",-84.5861478363632,39.148572112336
1,0,0,0,0,0,0,"Westwood",-84.5865435523183,39.1563579962687
0,0,0,0,0,0,0,"Westwood",-84.5869394217405,39.1641438664568
1,0,0,0,0,0,0,"Riverside",-84.579906604338,39.0824802292691
0,0,0,0,0,0,0,"Sedamsville",-84.5803007041016,39.0902662550018
38,0,12,0,11,8,31,"West Price Hill",-84.5810893618025,39.1058382648447
94,1,14,0,28,10,15,"West Price Hill",-84.5814839197413,39.1136242490727
35,12,6,2,12,12,33,"West Price Hill",-84.5818786305182,39.121410219581
1,1,1,0,16,0,7,"Westwood",-84.5822734941382,39.1291961762588
1,0,1,0,1,0,8,"Westwood",-84.5826685106158,39.1369821192646
26,7,3,1,1,20,35,"Westwood",-84.5830636801611,39.144768048379
13,1,4,0,14,4,32,"Westwood",-84.5834590028381,39.1525539637629
0,0,0,0,0,0,0,"Westwood",-84.5838544785306,39.1603398653165
6,0,7,0,4,2,8,"Riverside",-84.5772196388422,39.0864618722222
1,0,4,0,2,0,5,"Sedamsville",-84.5776134992013,39.0942479153123
1,0,0,0,0,0,0,"East Price Hill",-84.5780075119768,39.10203394472
25,7,12,0,14,19,59,"West Price Hill",-84.5784016773935,39.1098199604125
